,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
16,frozenset({'UHT-milk'}),frozenset({'whole milk'}),0.02229354614850798,0.16351492019430952,0.002515614156835531,0.11284046692607004,0.6900927865908411,-0.001129713262485908,0.9428801118862388,-0.31474951361867715
17,frozenset({'whole milk'}),frozenset({'UHT-milk'}),0.16351492019430952,0.02229354614850798,0.002515614156835531,0.015384615384615384,0.6900927865908411,-0.001129713262485908,0.9929831171929215,-0.3493252361673415
18,frozenset({'UHT-milk'}),frozenset({'yogurt'}),0.02229354614850798,0.0926439972241499,0.001040943789035392,0.046692607003891044,0.5040003497573557,-0.001024419438463439,0.9517979294424223,-0.5016360099044924
19,frozenset({'yogurt'}),frozenset({'UHT-milk'}),0.0926439972241499,0.02229354614850798,0.001040943789035392,0.011235955056179775,0.5040003497573559,-0.001024419438463439,0.9888167544634409,-0.5202935106626921
20,frozenset({'bananas'}),frozenset({'apples'}),0.07113115891741846,0.05022553782095767,0.0019951422623178347,0.028048780487804875,0.5584565482960528,-0.0015774584501375166,0.9771832609621265,-0.45980873837515357
21,frozenset({'apples'}),frozenset({'bananas'}),0.05022553782095767,0.07113115891741846,0.0019951422623178347,0.039723661485319514,0.5584565482960528,-0.0015774584501375166,0.9672932715590192,-0.4542856090304099
22,frozenset({'apples'}),frozenset({'berries'}),0.05022553782095767,0.023160999306037475,0.0013011797362942402,0.025906735751295335,1.11854999902971,0.00013790608967768057,1.002818761350717,0.11159009955247046
23,frozenset({'berries'}),frozenset({'apples'}),0.023160999306037475,0.05022553782095767,0.0013011797362942402,0.056179775280898875,1.11854999902971,0.00013790608967768057,1.0063086563563663,0.10849835716188608
24,frozenset({'apples'}),frozenset({'bottled beer'}),0.05022553782095767,0.046755725190839696,0.0011276891047883415,0.022452504317789293,0.4802086637763914,-0.0012206423391304812,0.9751385779408195,-0.5326378901606941
25,frozenset({'bottled beer'}),frozenset({'apples'}),0.046755725190839696,0.05022553782095767,0.0011276891047883415,0.02411873840445269,0.4802086637763914,-0.0012206423391304812,0.973247975502859,-0.5317300064902287
26,frozenset({'apples'}),frozenset({'bottled water'}),0.05022553782095767,0.06393129770992366,0.0021686328938237335,0.04317789291882556,0.6753795787899879,-0.0010423509172489418,0.978310069721939,-0.33601861015699286
27,frozenset({'bottled water'}),frozenset({'apples'}),0.06393129770992366,0.05022553782095767,0.0021686328938237335,0.033921302578019,0.675379578789988,-0.0010423509172489418,0.9831232845870144,-0.3392693571851932
